"Page URL","Referring pages",Description,"Description length","Duplicate description"
https://top-5-pct.replit.app/articles,119,"Helpful articles for businesses in Joliet and Will County. Tips, guides, and design advice from Top 5 Percent — your veteran owned custom signage and apparel shop.",163,No
https://top-5-pct.replit.app/products/supermen-t,1,"Supermen T Shirt. 4.5 oz, 100% pre-shrunk combed ringspun cotton, 30 singles. Semi-fitted with contrast color binding at neck and sleeves. Double-needle stitche... by Top 5 Percent in Joliet, IL. Veteran-owned custom signage and apparel.",237,No
https://top-5-pct.replit.app/products/money-green,1,"Money Green With Da Bling - Rhinestone and Glitter T-Shirt. 6 oz, 100% preshrunk cotton. Set-in rib collar with shoulder-to-shoulder taping. Seamless double nee... by Top 5 Percent in Joliet, IL. Veteran-owned custom signage and apparel.",237,No
https://top-5-pct.replit.app/products/silver-wreath-camo-shirt,1,"Silver Wreath Camo - Camouflage Shirt with Silver Foil Logo. 5.5 oz, 100% cotton printed jersey. Urban Woodland colors sewn with 100% cotton thread. Ribbed coll... by Top 5 Percent in Joliet, IL. Veteran-owned custom signage and apparel.",237,No
https://top-5-pct.replit.app/products/silver-drip,1,"Silver Drip Shirt. 4.2 oz, 100% airlume combed and ringspun cotton, 32 singles. Retail fit, unisex sizing. Coverstitched collar and sleeves, shoulder-to-shoulde... by Top 5 Percent in Joliet, IL. Veteran-owned custom signage and apparel.",237,No
https://top-5-pct.replit.app/products/top-5-flag-hoodie,1,"Top 5% Flag Hoodie. 8.5 oz, 80/20 cotton/polyester blend fleece with 100% cotton face, 20 singles. Standard fit, jersey lined hood. Split-stitched double-needle... by Top 5 Percent in Joliet, IL. Veteran-owned custom signage and apparel.",237,No
https://top-5-pct.replit.app/products/t5p-steel-shirt,1,"T5P Steel Shirt with Vinyl Logo. 4.5 oz, 100% polyester moisture management jersey, soft spun to feel like cotton. Ribbed collar, shoulder-to-shoulder taping. D... by Top 5 Percent in Joliet, IL. Veteran-owned custom signage and apparel.",237,No
https://top-5-pct.replit.app/products/foil-brand-v-blue,11,"Foil Brand V Neck - True Royal with Blue Foil Logo. 4.2 oz, 100% airlume combed and ringspun cotton, 32 singles. Unisex sizing, runs slightly smaller than a sta... by Top 5 Percent in Joliet, IL. Veteran-owned custom signage and apparel.",237,No
https://top-5-pct.replit.app/products/foil-brand-v-maroon,11,"Foil Brand V Neck - Maroon with Gold Foil Logo. 4.2 oz, 100% airlume combed and ringspun cotton, 32 singles. Unisex sizing, runs slightly smaller than a standar... by Top 5 Percent in Joliet, IL. Veteran-owned custom signage and apparel.",237,No
https://top-5-pct.replit.app/products/orange-drip,11,"Orange Drip Shirt. 4.3 oz, 100% combed ringspun cotton. Classic fit with shoulder-to-shoulder taping. 1 inch double-needle sleeve and bottom hem. 7/8 inch seame... by Top 5 Percent in Joliet, IL. Veteran-owned custom signage and apparel.",237,No
https://top-5-pct.replit.app/products/gold-foil-and-puff-chicago-hoodie,11,"Comfort and bold design with puff vinyl and gold foil graphic. Soft, cozy, and perfect for everyday wear. Striking Chicago-inspired design with raised textured... by Top 5 Percent in Joliet, IL. Veteran-owned custom signage and apparel.",236,No
https://top-5-pct.replit.app/products/gold-wreath-camo-shirt,5,"Gold Wreath Camo - Camouflage Shirt with Gold Foil Logo. 5.5 oz, 100% cotton printed jersey. Urban Woodland colors sewn with 100% cotton thread. Ribbed collar,... by Top 5 Percent in Joliet, IL. Veteran-owned custom signage and apparel.",236,No
https://top-5-pct.replit.app/products/branded-pens,3,"Custom imprinted pens with your company logo. Available in multiple colors with quick turnaround. by Top 5 Percent in Joliet, IL. Veteran-owned custom signage and apparel.",171,No
https://top-5-pct.replit.app/products/custom-printed-mugs,2,"Full-color custom mugs with your logo or design. Dishwasher safe. Great for corporate gifts and promotions. by Top 5 Percent in Joliet, IL. Veteran-owned custom signage and apparel.",181,No
https://top-5-pct.replit.app/products/custom-tote-bags,2,"Reusable custom tote bags with your branding. Eco-friendly and practical for events and giveaways. by Top 5 Percent in Joliet, IL. Veteran-owned custom signage and apparel.",172,No
