"Page URL","Page HTTP status code","Referring pages","Is in sitemap"
https://stop-and-go-limo.replit.app/privacy-policy,404,36,No
https://stop-and-go-limo.replit.app/terms-conditions,404,36,No
https://stop-and-go-limo.replit.app/book-a-ride,404,1,No
https://stop-and-go-limo.replit.app/airport-shuttle,404,1,No
https://stop-and-go-limo.replit.app/chauffeur,404,1,No
https://stop-and-go-limo.replit.app/corporate-car,404,1,No
https://stop-and-go-limo.replit.app/party-bus,404,1,No
https://stop-and-go-limo.replit.app/limousine,404,1,No
https://stop-and-go-limo.replit.app/special-events,404,1,No
https://stop-and-go-limo.replit.app/town-car,404,1,No
https://stop-and-go-limo.replit.app/transportation,404,1,No
https://stop-and-go-limo.replit.app/wedding-limo,404,1,No
https://stop-and-go-limo.replit.app/contact,404,4,No
https://stop-and-go-limo.replit.app/get-in-touch,404,4,No
https://stop-and-go-limo.replit.app/contact-us,404,1,No
